id;code;department;name;hours_for_lecture;hours_for_workshop;hours_for_exercise;semester;number_of_students;incoming_test
1;Taka Flats Personal Loan Account;Lead Auto Loan Account Mandatory;Gorgeous Savings Account frictionless;49287;87551;65711;WINTER;34279;false
2;data-warehouse Checking Account;Ports;Global Avon;12513;6112;9819;SUMMER;1692;true
3;Shoes payment Gorgeous;Investment Account Games well-modulated;TCP repurpose Refined Soft Pizza;96246;87741;41810;SUMMER;65948;false
4;Books;Louisiana hack Buckinghamshire;demand-driven Books;69182;74651;43240;WINTER;97369;false
5;User-friendly;HTTP;Boliviano Mvdol;93034;77182;37352;SUMMER;70690;true
6;Metal;Licensed Cotton Hat;Michigan Refined;75841;54171;39905;SUMMER;49748;false
7;vertical;compressing Incredible;Mouse Borders;40015;17201;37790;WINTER;36456;true
8;redundant hacking Metrics;Specialist zero tolerance pricing structure;Central input;35502;14132;18180;SUMMER;60602;true
9;Representative;override copying Bedfordshire;National;7845;23815;99966;SUMMER;35229;true
10;Frozen info-mediaries Mouse;Bedfordshire functionalities;Kids Money Market Account;44416;24924;75828;SUMMER;12233;true
