id;code;department;name;form;course;stream;jhi_group;hours_for_lecture;hours_for_workshop;hours_for_exercise;number_of_students
1;solution-oriented Marketing;invoice;24 hour Frozen Personal Loan Account;deposit Architect product;1403;7560;44032;25195;66472;43147;47761
2;Norwegian Krone Grocery Park;Tasty Berkshire flexibility;salmon Incredible;Garden;30387;52669;99081;44152;5228;1515;83496
3;North Dakota Gloves experiences;payment mobile Norfolk Island;matrix user-centric;mission-critical;86621;42479;28041;51109;97807;22549;64822
4;seamless Research;Venezuela;calculating Berkshire interactive;Investment Account Solomon Islands Dollar;61129;53725;45201;15436;97189;85369;87823
5;Avon Slovenia;out-of-the-box;Car;quantify;28506;14665;96508;79852;72718;80283;40274
6;Steel;Central Home;Borders;hard drive;14261;76295;88717;19306;78978;4239;28922
7;Specialist Strategist;connect Centralized didactic;Supervisor invoice;GB Gambia;12921;54468;95468;54457;34548;47025;75770
8;proactive online;Public-key Lodge;Re-engineered;parse model front-end;56655;21659;46296;28133;15102;82026;68509
9;connecting;North Korean Won;back-end Rustic Avon;payment utilize;593;13592;88924;70264;77427;16272;15591
10;Plains;program Parkway Tools;withdrawal Avon;Enterprise-wide;39336;96117;43193;84240;47839;96203;52459
